MeasurementID,Year,LocationID,Location,Value,MinTemp,MaxTemp,AvgTemp
2019-CA-017,2019,CA-017,El Dorado,60.52,42.6,64.5,53.6
2019-CA-019,2019,CA-019,Fresno,25.12,43.6,68.1,55.8
2019-CA-021,2019,CA-021,Glenn,39.12,48.6,72.3,60.4
2019-CA-023,2019,CA-023,Humboldt,71.48,44.3,64.6,54.5
2019-CA-025,2019,CA-025,Imperial,3.76,60,85.8,72.9
2019-CA-027,2019,CA-027,Inyo,10,47.9,72.1,60
2019-CA-029,2019,CA-029,Kern,13.32,49.3,74,61.7
2019-CA-031,2019,CA-031,Kings,9.69,51.1,77.5,64.3
2019-CA-033,2019,CA-033,Lake,60.95,46.3,68.4,57.4
2019-CA-035,2019,CA-035,Lassen,25.57,33.8,59.4,46.6
2019-CA-037,2019,CA-037,Los Angeles,23.4,50,72.1,61
2019-CA-039,2019,CA-039,Madera,25.3,43.8,68.7,56.2
2019-CA-041,2019,CA-041,Marin,46.7,48.7,65.1,56.9
2019-CA-043,2019,CA-043,Mariposa,38.06,42.4,67.6,55
2019-CA-045,2019,CA-045,Mendocino,62.4,45.2,67,56.1
2019-CA-047,2019,CA-047,Merced,13.85,51,74.8,62.9
2019-CA-049,2019,CA-049,Modoc,21.22,33.8,59.6,46.7
2019-CA-051,2019,CA-051,Mono,19.12,30,57.2,43.6
2019-CA-053,2019,CA-053,Monterey,30.5,45.8,72.4,59.1
2019-CA-055,2019,CA-055,Napa,43.5,47.8,72.1,60
